id,name,domain,fit_score,reason
"331034030825","Vaughn Construction","vaughnconstruction.com","48","MANUAL: no diversity/SBLO page found"
"331811186408","Jacobsen Construction","jacobsenconstruction.com","48","MANUAL: no diversity/SBLO page found"
"334399997634","CSI Construction","csigc.com","48","MANUAL: no diversity/SBLO page found"
"341103998684","Veteran DCI","veteran-dci.com","48","MANUAL: watchdog force-kill (CLOSE_HUNG: veteran-dci.com ())"
"343810606787","MGI, INC.","mgiinc.com","48","MANUAL: no diversity/SBLO page found"
"330159111869","Bernards","bernards.com","47","MANUAL: no diversity/SBLO page found"
"331082111700","Framaco International","framaco.com","47","MANUAL: no diversity/SBLO page found"
"332334068450","Critical Path Construction","criticalpathconstruction.com","47","MANUAL: no diversity/SBLO page found"
"332357714667","K2 Contracting Group","k2cg.com","47","MANUAL: no diversity/SBLO page found"
"335503359689","Circadia","circadia.net","47","MANUAL: no diversity/SBLO page found"
"337016052415","BEX Construction Services","bexstl.com","47","MANUAL: no diversity/SBLO page found"
"326161849028","MISSOURI RIVER CONTRACTORS, LLC","missouririvercontractors.com","46","MANUAL: no diversity/SBLO page found"
"330159122165","T5 Data Centers","t5datacenters.com","46","MANUAL: no diversity/SBLO page found"
"330381245175","OCS CONSTRUCTION SERVICES INC","ocsconstruction.com","46","MANUAL: no diversity/SBLO page found"
"331842689755","B&C Enterprises","bcentinc.com","46","MANUAL: no diversity/SBLO page found"
"332355909359","B3 Construction","b3construction.com","46","MANUAL: no diversity/SBLO page found"
"334363726536","RLS Construction Group","rlscg.com","46","MANUAL: 40s crawl ceiling hit (TIMEOUT: company rlscg.com exceeded 40000ms)"
"334525458130","Doster Construction","dosterconstruction.com","46","MANUAL: no diversity/SBLO page found"
"343804845779","Icarus Construction","icarusconstruction.com","46","MANUAL: watchdog force-kill (CLOSE_HUNG: icarusconstruction.com ())"
"318783219389","Weis Builders","weisbuilders.com","45","MANUAL: no diversity/SBLO page found"
"330320790230","BRIGHT REGARDS, LLC","brightregards.com","45","MANUAL: no diversity/SBLO page found"
"331830969059","Gordon Highlander","gordonhighlander.com","45","MANUAL: no diversity/SBLO page found"
"332070230746","Foushee","foushee.com","45","MANUAL: no diversity/SBLO page found"
"335609720538","Harendt Construction Group, LLC","harendt-construction.com","45","MANUAL: no diversity/SBLO page found"
"337019640550","Carlson Construction","cbinc.net","45","MANUAL: no diversity/SBLO page found"
"346669732543","T.W. Frierson Contractor","twfrierson.com","45","MANUAL: no diversity/SBLO page found"
"346836094658","Rockford Construction Company","rockfordconstruction.com","45","MANUAL: no diversity/SBLO page found"
"325726284482","Clune Construction","clunegc.com","44","MANUAL: no diversity/SBLO page found"
"326182606577","Saucerman Construction","saucermanci.com","44","MANUAL: no diversity/SBLO page found"
"326746156751","ACIERTO LLC","military-construction.com","44","MANUAL: no diversity/SBLO page found"
"329324653266","McShane Companies","mcshaneconstruction.com","44","MANUAL: no diversity/SBLO page found"
"329667997384","Choate Construction","choateco.com","44","MANUAL: no diversity/SBLO page found"
"329713080043","Okland Construction","okland.com","44","MANUAL: no diversity/SBLO page found"
"329725676223","Rycon Construction","ryconinc.com","44","MANUAL: no diversity/SBLO page found"
